basis_set,n_reactions,n_converged,convergence_rate
"cc-PVDZ, cc-PVTZ",35,0,0.0000
"SDD,6-311+G(2d,p)",35,0,0.0000
"SDD,6-31G(d)",35,0,0.0000
"Lanl2dz (Pd, I)",35,0,0.0000
6-31+G*(THF),35,0,0.0000
6-311+G**(THF),35,0,0.0000
Stuttgart-Köln basis set,35,0,0.0000
D95V(d),34,0,0.0000
Stuttgart relativistic effective core potential basis set for Os (ECP60MDF),34,0,0.0000
"Lanl2dz(d,p)",34,30,0.8824
def2-TZVP+,34,0,0.0000
aug-cc-pVDZ-PP; cc-pVDZ; aug-cc-pVQZ-PP; cc-pVQZ,34,3,0.0882
def2svpp,34,13,0.3824
def2-TVZP,34,0,0.0000
"CEP-31G(d), CEP-121G(d,p)",34,32,0.9412
"LANL2DZ, LANL2TZ(f), 6-311++G**",34,30,0.8824
"def2-SVP, def2-TZVPP, TZ2P",34,0,0.0000
[6s5p3d2f1g] SDD,34,34,1.0000
aug-cc-pVTZ-pp,34,16,0.4706
Stuttgart/Dresden base and ECPs for transition metals,34,32,0.9412
Def2SVPP,33,0,0.0000
"6-31++G(d,p) for all other atoms in single-point calculations",33,21,0.6364
"6-31+G(D,P)",33,0,0.0000
cc-pvDz-pp,33,0,0.0000
Stuttgart ECP,33,17,0.5152
"LANL2DZ, SDD, 6-311+G(d,p)",33,31,0.9394
triple-x SDD,32,0,0.0000
"6-31G++(d,p)",32,4,0.1250
Def2-QZVPPD,32,3,0.0938
"6-311+G(2d,p), LANL2DZ(ECP)",32,24,0.7500
Stuttgart RSC 1997 ECP,32,17,0.5312
"6-311+(d,p)",32,0,0.0000
Lanl2dz + f,32,22,0.6875
6-31g(G),32,30,0.9375
"SDD (Cu, Br, and I)",32,0,0.0000
"Lanl2dz (Cu, Br, I)",32,0,0.0000
SDD(Ru),32,0,0.0000
LACV3P*,31,28,0.9032
Def2-TZVP for all other atoms,31,0,0.0000
LACVP; LACV3P*+,31,25,0.8065
"LANL2DZ, SDD for Pd, 6-311+G(d,p)",31,31,1.0000
Stuttgart RSC 1997 ECP/triple-ζ,31,16,0.5161
6-31G(d):LANL2DZ,31,0,0.0000
6-31G(d'),31,1,0.0323
BS5,31,13,0.4194
SDD(Cu),31,14,0.4516
"LACV3P*, LACVP",31,23,0.7419
def-TZVP for Pd,31,0,0.0000
cc-pVTZ for all other atoms,31,0,0.0000
"BS1 (SDD for cobalt, 6-31G(d) for other atoms)",31,1,0.0323
"BS2 (SDD for cobalt, 6-311++G(2df,2p) for other atoms)",31,1,0.0323
Lanl2DZ(Ni),31,0,0.0000
Def2-SV(P),31,12,0.3871
6-31+G,30,23,0.7667
aug-cc-pVTZ-DK,30,0,0.0000
Stuttgart-Dresden pseudo-potential,30,0,0.0000
Def2-TZVP/C,30,0,0.0000
Def2/JK,30,0,0.0000
Def2-SVP/C,30,0,0.0000
LanL2DZ(Pd),30,10,0.3333
"TZVP, SVP, aug-cc-pVTZ, TZV+PP",30,0,0.0000
LACV3P+*,30,5,0.1667
def2-JK,30,0,0.0000
double numerical basis set plus a polarization d-function on all non-hydrogen atoms and a polarization p-function on all hydrogen atoms,30,0,0.0000
"cc-pVDZ, LANL2DZ",30,29,0.9667
"6-311++G**(H, C, N, O, Na and Cl)",30,0,0.0000
"6-311+G(d,p)/SDD",30,0,0.0000
double-zeta quality basis set,30,0,0.0000
6-31G(d)(SDD),30,0,0.0000
6-31 + G(d),29,0,0.0000
aug-cc-pwCVTZ,29,0,0.0000
Stuttgart/Dresden,29,9,0.3103
6-31*,29,0,0.0000
"6-31G*, 6-311G**",29,0,0.0000
"6-311+G(2d,2p), lanl2dz",29,0,0.0000
LANL2DZ for Co and 6-31G(d) for other atoms,29,0,0.0000
adapted basis set,29,0,0.0000
triple-ζ,29,1,0.0345
"def2-TZVP, def2-TZVPP",29,0,0.0000
SARC/J,29,0,0.0000
LanL2DZ(Rh),29,0,0.0000
"6-31G*(C,H,O,N,F,P)",29,0,0.0000
"6-311+G**(C,H,O,N,F,P)",29,0,0.0000
cc-pwCVQZ-DK,29,11,0.3793
quadruple-dzeta,29,11,0.3793
triple-dzeta,29,11,0.3793
cc-pVQZ-DK,29,11,0.3793
lan2tz(f),29,0,0.0000
cc-pVQZ-PP,28,25,0.8929
obtained from the Gaussian Basis Set Order Form,28,0,0.0000
SDD-6-31G*,28,0,0.0000
LACV3P*+,28,20,0.7143
SDD for Ru,28,0,0.0000
TZVPD,28,0,0.0000
double numerical plus polarization,28,5,0.1786
"6-31+G(d), 6-311++G(d,p)",28,0,0.0000
aug-def2-QZVP,27,0,0.0000
AUTOAUX,27,0,0.0000
def2-SVP(-p),27,0,0.0000
6-311G(2d),27,3,0.1111
6-31+G*(other atoms),27,0,0.0000
6-31++G,27,0,0.0000
AVDZ,27,19,0.7037
LANL2DZDP,27,21,0.7778
LanL2DZ(Br),27,0,0.0000
cc-pV(T+d)Z,27,2,0.0741
(14s9p5d)/[9s5p3d],27,0,0.0000
def2-QZVP/j,27,0,0.0000
def2-QZVP/c,27,0,0.0000
"6-311+G(3df,3pd)",27,0,0.0000
"6-31G(d), LanL2DZDP",27,0,0.0000
6-31G(D),26,11,0.4231
TZVP(SDD),26,0,0.0000
cc-pwCVDZ-DK,26,22,0.8462
LANL2DZ+p,26,17,0.6538
LanL2DZspdf + ECP,26,20,0.7692
Stuttgart ECP60MWB,26,20,0.7692
"6-311+G(d,p), LANL2DZ",26,0,0.0000
Aug-pcseg-1,26,6,0.2308
SDD/AUG-cc-pVDZ,25,25,1.0000
Lan2DZ,25,0,0.0000
def2-SVP-LANL2DZ,25,23,0.9200
D95 for H,25,0,0.0000
LANL08 ECP for Ir,25,0,0.0000
"aug-cc-pPDZ for C, N, O, P",25,0,0.0000
DZVP2,25,0,0.0000
wDZ,25,0,0.0000
